term,count,levels
circenses,1,2
extreme,1,2
rueda,1,2
bastonera,1,2
comediante,1,2
conjurador,1,2
contorsionista,1,2
equilibrista,1,2
blondin,1,2
bola,1,2
escalera,1,2
monociclo,1,2
rulo,1,2
bastones,1,2
percha,1,2
zancos,1,2
rebote,1,2
escapista,1,2
faquir,1,2
globoflexor,1,2
hipnotizador,1,2
bala,1,2
ilusionista,1,2
imitador,1,2
lanza,1,2
traga,1,2
lanzador,1,2
mago,1,2
malabarista,1,2
baston,1,2
cigar,1,2
boxes,1,2
clavas,1,2
contac,1,2
cubo,1,2
devil,1,2
stick,1,2
diabolos,1,2
isolation,1,2
jarrones,1,2
panuelos,1,2
swing,1,2
marionetista,1,2
payaso,1,2
prestidigitador,1,2
saltimbanqui,1,2
titiritero,1,2
tragasable,1,2
trapecista,1,2
ventrilocuo,1,2
materias,1,3
primas,1,3
quimicas,1,3
oceanografia,1,3
meteorologico,1,3
meteorologica,1,3
climatologico,1,3
metrologia,1,3
metrologo,1,3
ensayo,1,3
metrologico,1,3
calibraciones,1,3
mediciones,1,3
actas,1,3
parametros,1,3
estimador,1,3
geotecnica,1,3
construido,1,3
hidrografico,1,3
capataz,1,3
topotrocha,1,3
fotogeometria,1,3
electrotecnico,1,3
electrotecnia,1,3
casablanca,1,3
microinformaticos,1,3
biomedica,1,3
biomedicos,1,3
tasador,1,3
acidificador,1,3
desincrustador,1,3
fundido,1,3
subterraneo,1,3
dureza,1,3
sismico,1,3
acidificacion,1,3
fluidos,1,3
extractiva,1,3
mineralogia,1,3
petrologia,1,3
tratador,1,3
harvesting,1,3
colector,1,3
artefinalista,1,3
delineante,1,3
ilustraciones,1,3
herramienta,1,3
diagramador,1,3
finalista,1,3
autocad,1,3
imagenes,1,3
graficador,1,3
computarizadas,1,3
renderizador,1,3
curtiembre,1,3
curtimbres,1,3
accidentes,1,3
destructivas,1,3
radiografo,1,3
vibracion,1,3
cantidades,1,3
cuantificacion,1,3
ultrasonica,1,3
verificador,1,3
ultrasonido,1,3
planeamiento,1,3
turno,1,3
coquizacion,1,3
molinos,1,3
mineros,1,3
patios,1,3
suplente,1,3
cuadrilla,1,3
licuado,1,3
roceria,1,3
oleoductos,1,3
empacadores,1,3
barcadilla,1,3
procesados,1,3
congelacion,1,3
operarios,1,3
panificacion,1,3
envase,1,3
calandrado,1,3
mezclas,1,3
recuperados,1,3
supervisores,1,3
chasis,1,3
especificaciones,1,3
dique,1,3
ajustadores,1,3
altos,1,3
caldereros,1,3
liviana,1,3
galvanizado,1,3
herreros,1,3
forjadores,1,3
instaladores,1,3
electricistas,1,3
modelistas,1,3
matriceros,1,3
operadores,1,3
ornamentistas,1,3
soldadores,1,3
trabajadores,1,3
troquelistas,1,3
controles,1,3
tablero,1,3
circuito,1,3
impreso,1,3
purificadora,1,3
medidor,1,3
ebanistas,1,3
afines,1,3
automatizada,1,3
emplazamiento,1,3
interventoria,1,3
pavimentacion,1,3
plomeros,1,3
inspecciones,1,3
generadora,1,3
reactor,1,3
mareomotriz,1,3
eolica,1,3
geotermica,1,3
solar,1,3
bocatoma,1,3
embalse,1,3
servidas,1,3
represa,1,3
tanque,1,3
decantacion,1,3
sedimentacion,1,3
ptap,1,3
ptar,1,3
lodos,1,3
particulado,1,3
desencarpe,1,3
disposicion,1,3
evacuacion,1,3
lixiviados,1,3
crematorio,1,3
eliminacion,1,3
incinerador,1,3
vaso,1,3
incineracion,1,3
paisajismo,1,3
relleno,1,3
cremacion,1,3
termofusion,1,3
impermeabilizacion,1,3
compresorista,1,3
compresor,1,3
congelador,1,3
sustancias,1,3
relacionados,1,3
separadora,1,3
destileria,1,3
desulfurizadora,1,3
parafina,1,3
desulfuramiento,1,3
regasificacion,1,3
propano,1,3
convertidor,1,3
martin,1,3
siemens,1,3
procedimiento,1,3
bessemer,1,3
cubas,1,3
caliza,1,3
conversion,1,3
crisol,1,3
cubilote,1,3
olla,1,3
robot,1,3
despulpado,1,3
radiactivos,1,3
celulosa,1,3
placa,1,3
anatomia,1,3
biofisica,1,3
tisular,1,3
fisiologia,1,3
herbologia,1,3
ictiologia,1,3
serologia,1,3
herbario,1,3
sostenible,1,3
levante,1,3
engorde,1,3
azucarero,1,3
larvicultura,1,3
olericultura,1,3
pomologia,1,3
maduracion,1,3
pecuarios,1,3
rspo,1,3
roundtable,1,3
sustainable,1,3
palm,1,3
bouquetera,1,3
fertilizacion,1,3
polinizacion,1,3
viverismo,1,3
mirfe,1,3
pollo,1,3
inseminacion,1,3
cafetero,1,3
arboricultura,1,3
navegacion,1,3
toolpusher,1,3
mercante,1,3
navegables,1,3
yate,1,3
naviero,1,3
piloto,1,3
aerodeslizador,1,3
tercer,1,3
astronauta,1,3
copiloto,1,3
navegante,1,3
helicoptero,1,3
hidroavion,1,3
parqueo,1,3
sonar,1,3
parqueador,1,3
condiciones,1,3
prevuelo,1,3
rayos,1,3
escaner,1,3
radiografia,1,3
scanner,1,3
diagnosticas,1,3
densitometria,1,3
escaneo,1,3
escanografia,1,3
resonancia,1,3
